"ZIP","offCat"
"10459","MISDEMEANOR"
"10460","VIOLATION"
"11373","FELONY"
"11215","MISDEMEANOR"
"11208","MISDEMEANOR"
"11235","FELONY"
"11207","MISDEMEANOR"
"11208","FELONY"
"11208","FELONY"
"11435","FELONY"
"10456","MISDEMEANOR"
"10012","VIOLATION"
"11229","MISDEMEANOR"
"10002","MISDEMEANOR"
"10460","FELONY"
"11203","MISDEMEANOR"
"11228","FELONY"
"10456","VIOLATION"
"10460","FELONY"
"11101","FELONY"
"10459","VIOLATION"
"11213","FELONY"
"00083","MISDEMEANOR"
"11358","FELONY"
"11216","MISDEMEANOR"
"11101","FELONY"
"10009","MISDEMEANOR"
"11233","MISDEMEANOR"
"11234","FELONY"
"10065","MISDEMEANOR"
"10453","MISDEMEANOR"
"10037","MISDEMEANOR"
"10472","FELONY"
"10034","VIOLATION"
"10454","FELONY"
"11212","FELONY"
"10027","MISDEMEANOR"
"10032","MISDEMEANOR"
"11419","MISDEMEANOR"
"10032","MISDEMEANOR"
"10026","MISDEMEANOR"
"11221","FELONY"
"10002","MISDEMEANOR"
"10026","MISDEMEANOR"
"00083","MISDEMEANOR"
"10463","MISDEMEANOR"
"10463","MISDEMEANOR"
"10467","FELONY"
"11211","MISDEMEANOR"
"10454","FELONY"
"10454","MISDEMEANOR"
"11229","VIOLATION"
"10456","MISDEMEANOR"
"10456","MISDEMEANOR"
"11372","MISDEMEANOR"
"10009","MISDEMEANOR"
"10458","MISDEMEANOR"
"10002","MISDEMEANOR"
"10469","MISDEMEANOR"
"10452","VIOLATION"
"11228","MISDEMEANOR"
"10472","MISDEMEANOR"
"11221","FELONY"
"10469","MISDEMEANOR"
"10454","MISDEMEANOR"
"11236","FELONY"
"10303","MISDEMEANOR"
"10023","MISDEMEANOR"
"10004","MISDEMEANOR"
"10465","MISDEMEANOR"
"10469","MISDEMEANOR"
"10458","FELONY"
"11207","MISDEMEANOR"
"11233","FELONY"
"11216","VIOLATION"
"10466","MISDEMEANOR"
"10466","MISDEMEANOR"
"10471","MISDEMEANOR"
"10466","MISDEMEANOR"
"11208","MISDEMEANOR"
"11203","FELONY"
"10465","MISDEMEANOR"
"10461","MISDEMEANOR"
"11221","MISDEMEANOR"
"10035","FELONY"
"10451","MISDEMEANOR"
"10467","MISDEMEANOR"
"11414","VIOLATION"
"10035","MISDEMEANOR"
"10452","MISDEMEANOR"
"10011","MISDEMEANOR"
"10032","MISDEMEANOR"
"10452","MISDEMEANOR"
"11355","FELONY"
"11355","MISDEMEANOR"
"10460","MISDEMEANOR"
"10460","MISDEMEANOR"
"10314","FELONY"
"11217","FELONY"
"11385","MISDEMEANOR"
"10001","MISDEMEANOR"
"10037","MISDEMEANOR"
"10460","MISDEMEANOR"
"11207","MISDEMEANOR"
"11249","MISDEMEANOR"
"11414","MISDEMEANOR"
"10310","FELONY"
"11355","FELONY"
"10468","FELONY"
"10023","MISDEMEANOR"
"10314","MISDEMEANOR"
"11433","VIOLATION"
"10029","MISDEMEANOR"
"10456","MISDEMEANOR"
"10454","MISDEMEANOR"
"10451","FELONY"
"10006","MISDEMEANOR"
"10009","MISDEMEANOR"
"10039","VIOLATION"
"11434","MISDEMEANOR"
"10027","VIOLATION"
"10465","FELONY"
"11233","MISDEMEANOR"
"11233","VIOLATION"
"10456","VIOLATION"
"11233","MISDEMEANOR"
"11235","FELONY"
"10473","VIOLATION"
"11206","FELONY"
"11226","MISDEMEANOR"
"11205","VIOLATION"
"11231","MISDEMEANOR"
"10016","MISDEMEANOR"
"10026","FELONY"
"10460","FELONY"
"10461","FELONY"
"10461","FELONY"
"11221","MISDEMEANOR"
"10002","FELONY"
"10456","FELONY"
"10458","FELONY"
"10455","VIOLATION"
"11378","MISDEMEANOR"
"10310","MISDEMEANOR"
"10035","MISDEMEANOR"
"10023","MISDEMEANOR"
"00083","FELONY"
"10009","MISDEMEANOR"
"10040","MISDEMEANOR"
"11225","MISDEMEANOR"
"10310","VIOLATION"
"10451","MISDEMEANOR"
"10453","FELONY"
"11221","FELONY"
"10458","MISDEMEANOR"
"10454","MISDEMEANOR"
"10452","MISDEMEANOR"
"10305","FELONY"
"10460","MISDEMEANOR"
"10016","VIOLATION"
"10460","MISDEMEANOR"
"10460","FELONY"
"11235","FELONY"
"11234","VIOLATION"
"11355","VIOLATION"
"11209","MISDEMEANOR"
"10461","MISDEMEANOR"
